grid,steps_for_A6,steps_for_A7,ran_for_A6,ran_for_A7
0,15,14,False,False
1,768,139,True,True
2,15,17,False,True
3,253,198,True,True
4,212,125,True,True
5,476,221,True,True
6,40,31,True,True
7,20,4,True,True
8,386,1251,True,True
9,174,158,True,True
10,738,93,True,True
11,53,7,True,True
12,249,6,True,True
13,59,21,True,True
14,36,161,True,True
15,65,424,True,True
16,180,270462,True,False
17,37,38,True,True
18,2,171,True,True
19,662,498,True,True
20,100,555,True,True
21,31,3,True,True
22,54,308,True,True
23,141,8,True,True
24,108483,15,False,True
25,213873,204513,False,False
26,98,12,True,True
27,192,200,True,True
28,56,1,True,True
29,389,181,True,True
30,238,977,True,True
31,28,143151,True,False
32,128,233,True,True
33,167,1050,True,True
34,57,1676,True,True
35,10,9,False,False
36,445,429,True,True
37,5,2,True,True
38,2,14,True,True
39,91,70,True,True
40,16,6,True,True
41,5,2,True,True
42,201,309,True,True
43,456,713,True,True
44,10,305,True,True
45,598,337,True,True
46,240,300,True,True
47,227,80,True,True
48,78,236,True,True
49,145,136,True,True
50,975,822,True,True
51,1357,182,True,True
52,68,99,True,True
53,327,55,True,True
54,256,251,True,True
55,83,445,True,True
56,249,1104,True,True
57,85,63,True,True
58,38,86,True,True
59,492,50,True,True
60,50,123,True,True
61,153,251,True,True
62,18,313,True,True
63,348,78,True,True
64,205723,181,False,True
65,220,8,True,True
66,38,36,False,False
67,38,937,True,True
68,261,2,True,True
69,69,508,True,True
70,303,1463,True,True
71,87,128,True,True
72,645,106,True,True
73,2,2,False,False
74,78,862,True,True
75,224296,65,False,True
76,235,152,True,True
77,20,610,True,True
78,80,168,True,True
79,43,22,True,True
80,60,154,True,True
81,124,498,True,True
82,14,121,True,True
83,100,141,True,True
84,652,89,True,True
85,18,21,False,False
86,109,435,True,True
87,148,207,True,True
88,23,15,False,False
89,60,256,True,True
90,5,5,False,False
91,76,2,True,True
92,127,250,True,True
93,262,89,True,True
94,311,399,True,True
95,96,118,True,True
96,206,517,True,True
97,949,121,True,True
98,90,39,True,True
99,152043,10,False,True
